model_name,dialect,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
models/q1_mitigation/aragpt2_base_counterfactual_cda,Egyptian,270,138,132,0,51.11111111111111,48.888888888888886,0.0,0.029935538327252417,0.0029078125953674004,-0.3996771574020386,0.5861849784851074
models/q1_mitigation/aragpt2_base_counterfactual_cda,MSA,270,142,128,0,52.59259259259259,47.40740740740741,0.0,0.03953680705141138,0.00859239697456355,-0.4040437936782837,0.5953219532966614
