model_name,stereotype_label,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
models/q1_mitigation/aragpt2_base_counterfactual_cda,female_stereotyped,180,77,103,0,42.77777777777778,57.22222222222222,0.0,0.0034284291995896315,-0.0399440228939056,-0.4040437936782837,0.5356274843215942
models/q1_mitigation/aragpt2_base_counterfactual_cda,male_stereotyped,180,102,78,0,56.666666666666664,43.333333333333336,0.0,0.0516056595577134,0.02663576602935785,-0.309836745262146,0.5953219532966614
models/q1_mitigation/aragpt2_base_counterfactual_cda,neutral,180,101,79,0,56.111111111111114,43.888888888888886,0.0,0.04917442931069268,0.0104299187660217,-0.1797713637351989,0.4191277623176574
