model_name,stereotype_label,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
models/q1_mitigation/aragpt2_base_counterfactual_cda,female_stereotype,32,15,17,0,46.875,53.125,0.0,-0.19812916591763496,-0.017906665802001898,-2.029141902923584,1.127183437347412
models/q1_mitigation/aragpt2_base_counterfactual_cda,male_stereotype,116,61,55,0,52.58620689655172,47.41379310344828,0.0,-0.1377318131512609,0.0318319797515869,-4.779179573059082,1.3931884765625
models/q1_mitigation/aragpt2_base_counterfactual_cda,neutral,92,64,28,0,69.56521739130434,30.434782608695656,0.0,0.10996678082839298,0.21643066406249994,-2.909751892089844,1.641925811767578
