model_name,gender_context,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
bigscience/bloom-560m,demonstrative_noun_adjective,1,0,1,0,0.0,100.0,0.0,-1.828125,-1.828125,-1.828125,-1.828125
bigscience/bloom-560m,first_person_adjective,3,2,1,0,66.66666666666666,33.33333333333333,0.0,-0.3255208333333333,0.05078125,-1.97265625,0.9453125
bigscience/bloom-560m,second_person_adjective,3,2,0,1,66.66666666666666,0.0,33.33333333333333,0.310546875,0.349609375,0.0,0.58203125
bigscience/bloom-560m,third_person_pronoun_adjective,3,1,2,0,33.33333333333333,66.66666666666666,0.0,-0.61328125,-1.3984375,-1.47265625,1.03125
