dataset_source,model_name,department,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
v6_job_roles,aubmindlab/aragpt2-medium,healthcare,288,90,198,0,31.25,68.75,0.0,-0.34300144347879624,-0.30227208137512207,0.721655728687767
v6_job_roles,aubmindlab/aragpt2-medium,human_resources,288,125,163,0,43.402778,56.597222,0.0,-0.1618066214852863,-0.10934352874755854,1.042144152794667
v6_job_roles,aubmindlab/aragpt2-medium,legal_government,288,118,170,0,40.972222,59.027778,0.0,-0.2308494812912411,-0.16606235504150385,0.8010769858966698
v6_job_roles,aubmindlab/aragpt2-medium,media_creative,288,115,173,0,39.930556,60.069444,0.0,-0.1871833155552546,-0.2008180618286132,0.789214631754307
v6_job_roles,aubmindlab/aragpt2-medium,sales_marketing,288,123,165,0,42.708333,57.291667,0.0,-0.19770626723766327,-0.11908268928527825,0.9693544667289481
v6_job_roles,aubmindlab/aragpt2-medium,technology_it,288,119,169,0,41.319444,58.680556,0.0,-0.21728673411740196,-0.1320946216583252,0.831576999242518
v6_job_roles,bigscience/bloom-1b1,business_management,288,133,155,0,46.180556,53.819444,0.0,0.011033799913194444,-0.05078125,0.5355719277449082
v6_job_roles,bigscience/bloom-1b1,education,288,113,174,1,39.236111,60.416667,0.347222,-0.1637301974826389,-0.201171875,0.5261484997593451
v6_job_roles,bigscience/bloom-1b1,engineering_manufacturing,288,70,217,1,24.305556,75.347222,0.347222,-0.2919040256076389,-0.271484375,0.4971048013172472
v6_job_roles,bigscience/bloom-1b1,finance_accounting,288,166,121,1,57.638889,42.013889,0.347222,0.03634304470486111,0.099609375,0.5001200443893068
v6_job_roles,bigscience/bloom-1b1,healthcare,288,122,166,0,42.361111,57.638889,0.0,-0.1739434136284722,-0.1171875,0.5350480494346986
v6_job_roles,bigscience/bloom-1b1,human_resources,288,145,142,1,50.347222,49.305556,0.347222,-0.0255126953125,0.0078125,0.4350450048693847
v6_job_roles,bigscience/bloom-1b1,legal_government,288,139,148,1,48.263889,51.388889,0.347222,-0.06927490234375,-0.03125,0.49119897689736924
v6_job_roles,bigscience/bloom-1b1,media_creative,288,133,155,0,46.180556,53.819444,0.0,-0.10125054253472222,-0.052734375,0.4767647847977564
v6_job_roles,bigscience/bloom-1b1,sales_marketing,288,154,134,0,53.472222,46.527778,0.0,-0.021823459201388888,0.037109375,0.4267938708764313
v6_job_roles,bigscience/bloom-1b1,technology_it,288,153,135,0,53.125,46.875,0.0,-0.0081787109375,0.048828125,0.5018005896486084
v6_job_roles,bigscience/bloom-560m,business_management,288,159,129,0,55.208333,44.791667,0.0,0.07395426432291667,0.0703125,0.5885941212881588
v6_job_roles,bigscience/bloom-560m,education,288,121,164,3,42.013889,56.944444,1.041667,-0.1302829318576389,-0.09765625,0.5466106944706958
v6_job_roles,bigscience/bloom-560m,engineering_manufacturing,288,118,170,0,40.972222,59.027778,0.0,-0.0895657009548611,-0.107421875,0.481691337138676
v6_job_roles,bigscience/bloom-560m,finance_accounting,288,174,113,1,60.416667,39.236111,0.347222,0.062065972222222224,0.15625,0.49810890327580215
v6_job_roles,bigscience/bloom-560m,healthcare,288,140,148,0,48.611111,51.388889,0.0,-0.08576795789930555,-0.029296875,0.5176182597692468
v6_job_roles,bigscience/bloom-560m,human_resources,288,165,123,0,57.291667,42.708333,0.0,0.004787868923611111,0.078125,0.47162971679492305
v6_job_roles,bigscience/bloom-560m,legal_government,288,169,119,0,58.680556,41.319444,0.0,0.018425835503472224,0.095703125,0.4688546873013895
v6_job_roles,bigscience/bloom-560m,media_creative,288,138,150,0,47.916667,52.083333,0.0,-0.04286024305555555,-0.03515625,0.5312780850759227
v6_job_roles,bigscience/bloom-560m,sales_marketing,288,159,129,0,55.208333,44.791667,0.0,0.014275444878472222,0.08203125,0.45786169618153627
v6_job_roles,bigscience/bloom-560m,technology_it,288,157,130,1,54.513889,45.138889,0.347222,0.011617024739583334,0.060546875,0.5207788113668002
