dataset_source,model_name,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,std_score_difference
arabjobs_v7,aubmindlab/aragpt2-base,14532,8404,6128,0,57.830994,42.169006,0.0,0.08946366307494596,0.0525455474853515,0.3719931119125178
arabjobs_v7,bigscience/bloom-560m,14532,8463,5994,75,58.236994,41.246903,0.516102,0.10895768282927333,0.0859375,0.3740784011439636
v6_job_roles,aubmindlab/aragpt2-base,2880,970,1910,0,33.680556,66.319444,0.0,-0.3019826209379567,-0.2294025421142578,0.6519641173997146
v6_job_roles,aubmindlab/aragpt2-medium,2880,1136,1744,0,39.444444,60.555556,0.0,-0.24358369012673695,-0.1814496517181396,0.8718892828124275
v6_job_roles,bigscience/bloom-1b1,2880,1328,1547,5,46.111111,53.715278,0.173611,-0.08082411024305555,-0.0546875,0.502595609616071
v6_job_roles,bigscience/bloom-560m,2880,1500,1375,5,52.083333,47.743056,0.173611,-0.016335042317708333,0.03125,0.5130391268625385
