model_name,stereotype_label,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
aubmindlab/aragpt2-base,male_stereotyped,4,0,4,0,0.0,100.0,0.0,-0.5027333498001099,-0.5886127948760986,-0.7734079360961914,-0.0602998733520507
aubmindlab/aragpt2-base,unknown_scraped_alias,1,1,0,0,100.0,0.0,0.0,0.5189661979675293,0.5189661979675293,0.5189661979675293,0.5189661979675293
