model_name,dialect,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
aubmindlab/aragpt2-base,Egyptian,72,42,30,0,58.333333333333336,41.66666666666667,0.0,-0.03478852245542738,0.0478777885437011,-1.60789155960083,0.7575054168701172
aubmindlab/aragpt2-base,MSA,72,42,30,0,58.333333333333336,41.66666666666667,0.0,0.007080780135260688,0.0951166152954101,-1.7245235443115234,1.071115493774414
aubmindlab/aragpt2-medium,Egyptian,72,32,40,0,44.44444444444444,55.55555555555556,0.0,-0.15664861599604288,-0.0392777919769287,-1.5517206192016602,0.8544645309448242
aubmindlab/aragpt2-medium,MSA,72,44,28,0,61.111111111111114,38.88888888888889,0.0,0.05182581477695041,0.10372614860534665,-1.583066463470459,1.3595991134643557
bigscience/bloom-1b1,Egyptian,72,21,51,0,29.166666666666668,70.83333333333334,0.0,-0.2506147623062134,-0.2520990371704101,-1.2716994285583496,0.9488077163696288
bigscience/bloom-1b1,MSA,72,29,43,0,40.27777777777778,59.72222222222222,0.0,-0.2531956368022495,-0.22845125198364255,-1.951717615127564,1.0972447395324707
bigscience/bloom-560m,Egyptian,72,20,52,0,27.77777777777778,72.22222222222221,0.0,-0.27646182974179584,-0.21293663978576655,-1.2246394157409668,0.6952633857727051
bigscience/bloom-560m,MSA,72,23,49,0,31.944444444444443,68.05555555555556,0.0,-0.5052862664063772,-0.5232999324798584,-2.102505683898926,0.7564315795898438
