model_name,dimension,total_items,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,average_score_difference,median_score_difference,min_score_difference,max_score_difference
aubmindlab/aragpt2-base,occupation,72,47,25,0,65.27777777777779,34.72222222222222,0.0,0.06566092703077528,0.13512778282165525,-1.7081646919250488,1.0479965209960938
aubmindlab/aragpt2-base,trait,72,37,35,0,51.388888888888886,48.61111111111111,0.0,-0.09336866935094197,0.0156517028808593,-1.7245235443115234,1.071115493774414
aubmindlab/aragpt2-medium,occupation,72,45,27,0,62.5,37.5,0.0,0.0682095554139879,0.19846749305725095,-1.5517206192016602,1.291712760925293
aubmindlab/aragpt2-medium,trait,72,31,41,0,43.05555555555556,56.94444444444444,0.0,-0.17303235663308036,-0.1056098937988281,-1.583066463470459,1.3595991134643557
bigscience/bloom-1b1,occupation,72,20,52,0,27.77777777777778,72.22222222222221,0.0,-0.3104777965280745,-0.35741662979125977,-1.6896977424621582,1.0972447395324707
bigscience/bloom-1b1,trait,72,30,42,0,41.66666666666667,58.333333333333336,0.0,-0.1933326025803884,-0.1205291748046875,-1.951717615127564,0.7649068832397461
bigscience/bloom-560m,occupation,72,18,54,0,25.0,75.0,0.0,-0.44646399550967747,-0.41828346252441406,-1.7529339790344238,0.7564315795898438
bigscience/bloom-560m,trait,72,25,47,0,34.72222222222222,65.27777777777779,0.0,-0.33528410063849556,-0.09189558029174799,-2.102505683898926,0.4623315334320068
