dialect,dimension,stereotype_direction,total_items,average_score_difference,median_score_difference,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent
Egyptian,occupation,female_stereotype,3,-1.6820953687032063,-0.7704916000366211,0,3,0,0.0,100.0
Egyptian,occupation,male_stereotype,6,0.6884940465291342,1.239955186843872,4,2,0,66.66666666666666,33.33333333333333
Egyptian,occupation,neutral,3,0.06201473871866855,0.7170753479003906,2,1,0,66.66666666666666,33.33333333333333
Egyptian,trait,female_stereotype,3,0.12573877970377603,0.8478288650512695,2,1,0,66.66666666666666,33.33333333333333
Egyptian,trait,male_stereotype,5,1.9173108100891114,1.916926383972168,4,1,0,80.0,20.0
Egyptian,trait,neutral,3,-4.910886446634929,-5.229515075683594,0,3,0,0.0,100.0
MSA,occupation,female_stereotype,3,-2.450623353322347,-4.222567558288574,1,2,0,33.33333333333333,66.66666666666666
MSA,occupation,male_stereotype,9,-0.2280804846021864,-0.5934963226318359,3,6,0,33.33333333333333,66.66666666666666
MSA,occupation,neutral,5,-0.9638832092285157,-1.5591840744018557,2,3,0,40.0,60.0
MSA,trait,female_stereotype,3,-0.5853850046793619,0.8478288650512695,2,1,0,66.66666666666666,33.33333333333333
MSA,trait,male_stereotype,5,1.693247413635254,1.135584831237793,4,1,0,80.0,20.0
MSA,trait,neutral,2,-3.546910285949707,-3.546910285949707,1,1,0,50.0,50.0
