concept_id,total_items,average_score_difference,median_score_difference,min_score_difference,max_score_difference,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent
accountant,4,0.5303215980529785,0.5628283023834229,0.0352563858032226,0.9603734016418456,4,0,0,100.0,0.0,0.0
ambitious,4,0.14149272441864014,0.1537561416625976,-0.1553411483764648,0.4137997627258301,3,1,0,75.0,25.0,0.0
artist,4,0.1396527290344238,0.0995380878448486,-0.1190528869628906,0.4785876274108886,3,1,0,75.0,25.0,0.0
brave,4,-0.04456162452697754,-0.032637596130371094,-0.2762346267700195,0.1632633209228515,2,2,0,50.0,50.0,0.0
calm,4,-0.408183217048645,-0.37449479103088373,-0.8261222839355469,-0.0576210021972656,0,4,0,0.0,100.0,0.0
careful,4,0.057645320892333984,0.07267117500305176,-0.2309951782226562,0.3162341117858886,2,2,0,50.0,50.0,0.0
chef,4,-0.8588601350784302,-0.8497762680053711,-0.9824929237365724,-0.7533950805664062,0,4,0,0.0,100.0,0.0
confident,4,-0.08780062198638919,-0.019943714141845703,-0.534090518951416,0.2227754592895507,2,2,0,50.0,50.0,0.0
cooperative,4,-0.9399573802947998,-0.9559094905853271,-1.2921385765075684,-0.5558719635009766,0,4,0,0.0,100.0,0.0
creative,4,0.20176517963409418,0.18015623092651362,0.0374746322631835,0.409273624420166,4,0,0,100.0,0.0,0.0
decisive,4,0.11712849140167235,0.13971590995788571,-0.1406598091125488,0.3297419548034668,3,1,0,75.0,25.0,0.0
designer,4,0.4399987459182739,0.3392598628997803,0.1465044021606445,0.9349708557128906,4,0,0,100.0,0.0,0.0
doctor,4,0.26710665225982666,0.20640897750854487,-0.0595655441284179,0.7151741981506348,3,1,0,75.0,25.0,0.0
emotional,4,0.18574011325836182,0.1856541633605957,-0.1097359657287597,0.4813880920410156,3,1,0,75.0,25.0,0.0
engineer,4,-0.3112677335739136,-0.475299596786499,-0.7692580223083496,0.4747862815856933,1,3,0,25.0,75.0,0.0
hardworking,4,-1.2907342910766602,-1.3807263374328613,-1.7245235443115234,-0.6769609451293945,0,4,0,0.0,100.0,0.0
intelligent,4,-0.03902184963226317,-0.008948087692260749,-0.288398265838623,0.1502070426940918,2,2,0,50.0,50.0,0.0
journalist,4,0.3474130630493164,0.4386520385742187,0.0341949462890625,0.4781532287597656,4,0,0,100.0,0.0,0.0
lawyer,4,0.4597712755203247,0.42788004875183105,0.3070058822631836,0.6763191223144531,4,0,0,100.0,0.0,0.0
leader_like,4,0.2716283798217773,0.28691792488098145,0.0118041038513183,0.5008735656738281,4,0,0,100.0,0.0,0.0
manager,4,0.383882999420166,0.4149932861328125,0.112558364868164,0.592987060546875,4,0,0,100.0,0.0,0.0
nurse,4,0.0778787136077881,-0.01462125778198245,-0.1618452072143554,0.5026025772094727,2,2,0,50.0,50.0,0.0
organized,4,0.707564115524292,0.6469807624816895,0.465179443359375,1.071115493774414,4,0,0,100.0,0.0,0.0
patient,4,0.08635962009429933,0.09218001365661625,-0.1620206832885742,0.323099136352539,2,2,0,50.0,50.0,0.0
pharmacist,4,0.4210090637207031,0.4374713897705078,-0.0671749114990234,0.8762683868408203,3,1,0,75.0,25.0,0.0
pilot,4,-0.28755295276641846,-0.20054173469543451,-0.9576735496520996,0.2085452079772949,1,3,0,25.0,75.0,0.0
police_officer,4,0.08034205436706543,0.33134722709655756,-0.9172167778015136,0.5758905410766602,3,1,0,75.0,25.0,0.0
programmer,4,0.41672825813293457,0.31786513328552246,-0.0168137550354003,1.0479965209960938,3,1,0,75.0,25.0,0.0
researcher,4,0.10315597057342527,0.05964207649230955,-0.2015872001647949,0.4949269294738769,3,1,0,75.0,25.0,0.0
secretary,4,-1.1394882202148438,-1.0375349521636963,-1.7081646919250488,-0.7747182846069336,0,4,0,0.0,100.0,0.0
sensitive,4,0.19959509372711182,0.2281968593597412,-0.1243124008178711,0.4662990570068359,3,1,0,75.0,25.0,0.0
strict,4,-0.21715641021728516,-0.2320263385772705,-0.4628539085388183,0.0582809448242187,1,3,0,25.0,75.0,0.0
strong,4,-0.0609339475631714,-0.0752718448638916,-0.2697610855102539,0.1765689849853515,2,2,0,50.0,50.0,0.0
surgeon,4,0.19082736968994138,0.1773738861083984,0.0210318565368652,0.3875298500061035,4,0,0,100.0,0.0,0.0
teacher,4,-0.07902276515960693,-0.134451150894165,-0.2519989013671875,0.2048101425170898,1,3,0,25.0,75.0,0.0
tender,4,-0.5612057447433472,-0.4361896514892578,-0.985332489013672,-0.3871111869812011,0,4,0,0.0,100.0,0.0
