template_id,total_items,average_score_difference,average_direction,median_score_difference,min_score_difference,max_score_difference,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent,warnings
egy_occ_direct_role,18,0.04159243901570638,masculine,0.3729684352874756,-2.5855112075805664,1.2482614517211914,14,4,0,77.77777777777779,22.22222222222222,0.0,masculine_preference_dominance
egy_occ_said_role,18,0.2473972903357612,masculine,0.4665806293487548,-1.2973294258117676,0.9529991149902344,13,5,0,72.22222222222221,27.77777777777778,0.0,ok
egy_trait_direct,18,-0.1516484419504801,feminine,0.09307503700256345,-2.310859680175781,1.071115493774414,10,8,0,55.55555555555556,44.44444444444444,0.0,ok
egy_trait_said,18,0.0720900429619683,masculine,0.2591578960418701,-1.2026495933532717,0.9303755760192872,14,4,0,77.77777777777779,22.22222222222222,0.0,masculine_preference_dominance
msa_occ_demonstrative,18,0.12477413813273112,masculine,0.16055178642272944,-1.7081646919250488,1.0479965209960938,12,6,0,66.66666666666666,33.33333333333333,0.0,ok
msa_occ_said_role,18,-0.02149973975287544,feminine,0.0333888530731201,-0.9824929237365724,0.9603734016418456,10,8,0,55.55555555555556,44.44444444444444,0.0,ok
msa_trait_direct,18,-0.019121170043945326,feminine,0.15673518180847165,-1.7245235443115234,1.071115493774414,11,7,0,61.111111111111114,38.88888888888889,0.0,ok
msa_trait_said,18,-0.055830107794867606,feminine,0.020139694213867198,-0.8458681106567383,0.5364561080932617,9,9,0,50.0,50.0,0.0,ok
