concept_id,total_items,average_score_difference,median_score_difference,min_score_difference,max_score_difference,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent
decisive,4,0.07337951660156253,0.033583164215087905,-0.1874933242797851,0.4138450622558594,2,2,0,50.0,50.0,0.0
doctor,4,0.24080538749694824,0.18468904495239255,-0.0595655441284179,0.6534090042114258,3,1,0,75.0,25.0,0.0
emotional,4,0.36924898624420166,0.36158084869384766,0.1906709671020507,0.5631632804870605,4,0,0,100.0,0.0,0.0
engineer,4,-0.5778968334197998,-0.7692580223083496,-1.2478575706481934,0.4747862815856933,1,3,0,25.0,75.0,0.0
intelligent,4,0.029730916023254426,0.043642044067382854,-0.1185674667358398,0.1502070426940918,2,2,0,50.0,50.0,0.0
manager,4,0.432910680770874,0.4518709182739258,0.112558364868164,0.7153425216674805,4,0,0,100.0,0.0,0.0
nurse,4,-0.0870941877365112,-0.10481595993041985,-0.1618452072143554,0.0231003761291503,1,3,0,25.0,75.0,0.0
patient,4,0.1256498098373413,0.20113611221313477,-0.2227721214294433,0.323099136352539,3,1,0,75.0,25.0,0.0
programmer,4,0.31634581089019775,0.11710023880004884,-0.0168137550354003,1.0479965209960938,2,2,0,50.0,50.0,0.0
strong,4,-0.10414528846740725,-0.10414528846740725,-0.2697610855102539,0.0614705085754394,2,2,0,50.0,50.0,0.0
teacher,4,0.3700740337371826,0.3243670463562012,-0.2246870994567871,1.0562491416931152,2,2,0,50.0,50.0,0.0
tender,4,-0.4695436954498291,-0.4361896514892578,-0.8215889930725098,-0.184206485748291,0,4,0,0.0,100.0,0.0
