concept_id,total_items,average_score_difference,median_score_difference,min_score_difference,max_score_difference,masculine_preferred_count,feminine_preferred_count,equal_count,masculine_preferred_percent,feminine_preferred_percent,equal_percent
accountant,4,0.3282127380371093,0.3500964641571045,-0.3477153778076172,0.9603734016418456,3,1,0,75.0,25.0,0.0
ambitious,4,0.17075371742248535,0.1537561416625976,-0.0382971763610839,0.4137997627258301,3,1,0,75.0,25.0,0.0
artist,4,-0.053217768669128425,-0.0218639373779297,-0.2928943634033203,0.123751163482666,2,2,0,50.0,50.0,0.0
brave,4,0.023223996162414537,0.10293364524841306,-0.2762346267700195,0.1632633209228515,3,1,0,75.0,25.0,0.0
calm,4,-0.3368690013885498,-0.37449479103088373,-0.540865421295166,-0.0576210021972656,0,4,0,0.0,100.0,0.0
careful,4,0.1468757390975952,0.21087574958801264,-0.1504826545715332,0.3162341117858886,3,1,0,75.0,25.0,0.0
chef,4,-0.9597331285476685,-0.9421541690826416,-1.2012290954589844,-0.7533950805664062,0,4,0,0.0,100.0,0.0
confident,4,-0.011341810226440478,0.1329739093780517,-0.534090518951416,0.2227754592895507,3,1,0,75.0,25.0,0.0
cooperative,4,-0.8404543399810791,-0.7569034099578857,-1.2921385765075684,-0.5558719635009766,0,4,0,0.0,100.0,0.0
creative,4,0.28360927104949946,0.28478789329528803,0.1555876731872558,0.409273624420166,4,0,0,100.0,0.0,0.0
decisive,4,0.23237597942352295,0.2687840461730957,-0.1406598091125488,0.5325956344604492,3,1,0,75.0,25.0,0.0
designer,4,0.29993748664855957,0.1923232078552246,-0.1198673248291015,0.9349708557128906,3,1,0,75.0,25.0,0.0
doctor,4,0.0940299034118652,0.09854340553283686,-0.0595655441284179,0.238598346710205,3,1,0,75.0,25.0,0.0
emotional,4,0.2298777103424072,0.1856541633605957,0.0668144226074218,0.4813880920410156,4,0,0,100.0,0.0,0.0
engineer,4,-0.44969701766967773,-0.6539695262908936,-0.9656352996826172,0.4747862815856933,1,3,0,25.0,75.0,0.0
hardworking,4,-1.157251238822937,-1.113760232925415,-1.7245235443115234,-0.6769609451293945,0,4,0,0.0,100.0,0.0
intelligent,4,0.0588250160217285,0.061244249343872,-0.0373954772949218,0.1502070426940918,3,1,0,75.0,25.0,0.0
journalist,4,0.2729531526565552,0.2897322177886963,0.0341949462890625,0.4781532287597656,4,0,0,100.0,0.0,0.0
lawyer,4,0.18935132026672363,0.3468155860900879,-0.4053606986999511,0.4691348075866699,3,1,0,75.0,25.0,0.0
leader_like,4,0.2860952615737915,0.28691792488098145,0.069671630859375,0.5008735656738281,4,0,0,100.0,0.0,0.0
manager,4,0.28374457359313965,0.2852745056152344,0.112558364868164,0.4518709182739258,4,0,0,100.0,0.0,0.0
nurse,4,-0.12407851219177243,-0.10709404945373531,-0.3052263259887695,0.0231003761291503,1,3,0,25.0,75.0,0.0
organized,4,0.721678614616394,0.6469807624816895,0.5216374397277832,1.071115493774414,4,0,0,100.0,0.0,0.0
patient,4,0.0955042839050293,0.1104693412780762,-0.1620206832885742,0.323099136352539,2,2,0,50.0,50.0,0.0
pharmacist,4,0.177406907081604,0.17116570472717285,-0.50897216796875,0.8762683868408203,2,2,0,50.0,50.0,0.0
pilot,4,-0.5203381776809692,-0.5023636817932129,-1.285170555114746,0.2085452079772949,1,3,0,25.0,75.0,0.0
police_officer,4,0.004988670349121094,0.24333024024963376,-0.9172167778015136,0.4505109786987304,3,1,0,75.0,25.0,0.0
programmer,4,0.24902176856994632,0.0045576095581055,-0.0610246658325195,1.0479965209960938,2,2,0,50.0,50.0,0.0
researcher,4,-0.061975002288818345,-0.0599255561828613,-0.2015872001647949,0.0735383033752441,2,2,0,50.0,50.0,0.0
secretary,4,-1.172201156616211,-1.0375349521636963,-1.7081646919250488,-0.9055700302124025,0,4,0,0.0,100.0,0.0
sensitive,4,0.26771843433380127,0.2281968593597412,0.1481809616088867,0.4662990570068359,4,0,0,100.0,0.0,0.0
strict,4,-0.2280207872390747,-0.2537550926208496,-0.4628539085388183,0.0582809448242187,1,3,0,25.0,75.0,0.0
strong,4,0.016734242439269974,0.08006453514099116,-0.2697610855102539,0.1765689849853515,3,1,0,75.0,25.0,0.0
surgeon,4,0.057703852653503404,0.0457983016967773,-0.1449642181396484,0.2841830253601074,3,1,0,75.0,25.0,0.0
teacher,4,-0.20405948162078857,-0.2383430004119873,-0.2953367233276367,-0.0442152023315429,0,4,0,0.0,100.0,0.0
tender,4,-0.4493776559829712,-0.4361896514892578,-0.538020133972168,-0.3871111869812011,0,4,0,0.0,100.0,0.0
